,Destination,Price(€),Date,Airline Company,Departure Time,Connection,Class
2117,Prague,73,Tue 30 Aug,Wizz Air Abu Dhabi,1630,Direct,Economy
2118,Tel Aviv,68,Thu 22 Dec,Air Arabia Abu Dhabi,0920,Direct,Economy
2119,Prague,68,Thu 23 Feb,IndiGo Airlines,1445,Direct,Economy
2120,Tel Aviv,60,Thu 10 Nov,Wizz Air,0920,Direct,Economy
2121,Prague,60,Thu 16 Mar,Wizz Air,1550,Direct,Economy
2122,Tel Aviv,68,Tue 9 May,Wizz Air,1010,Direct,Economy
2123,Prague,68,Sun 30 Apr,Wizz Air,1445,Direct,Economy
2124,Tel Aviv,72,Mon 24 Apr,Wizz Air,0920,Direct,Economy
2125,Prague,72,Mon 8 May,Wizz Air,1445,Direct,Economy
2126,Tel Aviv,1421,Wed 26 Apr,Norwegian International,1945,Direct,Economy
2127,Mumbai,142,Sun 9 Apr,Norwegian International,05451,Direct,Economy
2128,Tel Aviv,1421,Sun 20 Nov,Norwegian International,1945,Direct,Economy
2129,Mumbai,142,Sun 13 Nov,Norwegian International,05451,1 stop,Economy
2130,Tel Aviv,1451,Sun 5 Feb,easyJet,1945,1 stop,Economy
2131,Mumbai,145,Mon 10 Apr,Wizz Air,05451,1 stop,Economy
2132,Tel Aviv,1452,Sun 11 Dec,Wizz Air,1945,1 stop,Economy
2133,Mumbai,145,Sun 1 Jan,easyJet,05451,1 stop,Economy
2134,Tel Aviv,1512,Sun 7 May,Wizz Air,1945,2 stops,Economy
2135,Mumbai,151,Sun 26 Feb,Wizz Air,05451,1 stop,Economy
2136,Tel Aviv,1571,Thu 13 Apr,easyJet,1945,1 stop,Economy
2137,Mumbai,157,Sun 8 Jan,easyJet,05451,2 stops,Economy
2138,Tel Aviv,1682,Sun 5 Mar,easyJet,1945,1 stop,Economy
2139,Mumbai,168,Sun 16 Apr,Norwegian International,05451,1 stop,Economy
2140,Tel Aviv,1681,Sun 22 Jan,Wizz Air,1945,1 stop,Economy
2141,Mumbai,168,Sun 27 Nov,Ryanair,05451,2 stops,Economy
2142,Tel Aviv,1712,Sun 29 Jan,easyJet,1945,1 stop,Economy
2143,Mumbai,171,Tue 18 Apr,Norwegian International,05451,1 stop,Economy
2144,Tel Aviv,1711,Sun 23 Apr,Norwegian International,1945,1 stop,Economy
2145,Mumbai,171,Wed 19 Apr,Norwegian International,05451,1 stop,Economy
2146,Tel Aviv,1741,Tue 28 Mar,Norwegian International,1945,2 stops,Economy
2147,Mumbai,174,Mon 17 Apr,Norwegian International,05451,1 stop,Economy
2148,Tel Aviv,1762,Sun 4 Dec,Norwegian International,1945,1 stop,Economy
2149,Mumbai,176,Sun 12 Feb,Norwegian International,05451,1 stop,Economy
2150,Tel Aviv,1802,Sun 30 Oct,Aegean,1945,1 stop,Economy
2151,Mumbai,180,Sun 6 Nov,Wizz Air,05451,1 stop,Economy
2152,Tel Aviv,1802,Sun 25 Sep,Aegean,1945,2 stops,Economy
2153,Mumbai,180,Sun 2 Oct,Aegean,05451,1 stop,Economy
2154,Tel Aviv,1833,Sun 18 Sep,Aegean,1945,Direct,Economy
2155,Mumbai,183,Wed 28 Sep,Aegean,06101,Direct,Economy
2156,Tel Aviv,1942,Sun 4 Sep,Aegean,1945,Direct,Economy
2157,Mumbai,194,Wed 31 Aug,Aegean,05451,Direct,Economy
2158,Tel Aviv,1952,Sun 28 Aug,Aegean,1945,Direct,Economy
2159,Mumbai,195,Sun 11 Sep,Aegean,05451,Direct,Economy
2160,Tel Aviv,1952,Wed 14 Sep,Wizz Air,1945,Direct,Economy
2161,Mumbai,195,Tue 20 Sep,Aegean,05451,Direct,Economy
2162,Tel Aviv,1951,Tue 30 Aug,Aegean,1945,Direct,Economy
2163,Mumbai,195,Sun 21 Aug,Aegean,05451,Direct,Economy
2164,Tel Aviv,1982,Sun 16 Oct,Aegean,1945,Direct,Economy
2165,Mumbai,198,Sun 18 Sep,Aegean,05451,Direct,Economy
2166,Tel Aviv,2031,Thu 13 Oct,Aegean,1945,Direct,Economy
2167,Mumbai,203,Tue 13 Sep,Aegean,05451,Direct,Economy
2168,Tel Aviv,2062,Thu 1 Sep,Aegean,1945,Direct,Economy
2169,Mumbai,206,Tue 25 Oct,Wizz Air,05451,Direct,Economy
2170,Tel Aviv,2061,Sun 11 Sep,Aegean,1945,Direct,Economy
2171,Mumbai,206,Thu 8 Sep,Aegean,05451,Direct,Economy
2172,Tel Aviv,2071,Tue 18 Oct,Aegean,1945,Direct,Economy
2173,Mumbai,207,Sun 23 Oct,Aegean,05451,Direct,Economy
2174,Tel Aviv,198,Thu 25 Aug,Aegean,1745,Direct,Economy
2175,Mumbai,198,Tue 23 Aug,Aegean,05551,Direct,Economy
2176,Tel Aviv,2142,Tue 6 Sep,Aegean,1945,Direct,Economy
2177,Mumbai,214,Thu 20 Oct,Aegean,05451,Direct,Economy
2178,Tel Aviv,2142,Sun 17 Jul,Aegean,1945,Direct,Economy
2179,Mumbai,214,Sun 21 Aug,Aegean,05451,Direct,Economy
2180,Tel Aviv,2151,Sun 7 Aug,Aegean,1945,Direct,Economy
2181,Mumbai,215,Wed 24 Aug,Aegean,05451,Direct,Economy
2182,Tel Aviv,2201,Sat 22 Oct,Aegean,1945,Direct,Economy
2183,Mumbai,220,Sat 10 Sep,Aegean,05451,Direct,Economy
2184,Tel Aviv,2292,Sat 22 Oct,Aegean,1945,Direct,Economy
2185,Mumbai,229,Tue 6 Sep,Aegean,05451,Direct,Economy
2186,Tel Aviv,2501,Sat 17 Sep,Aegean,2205,Direct,Economy
2187,Fort Lauderdale,250,Sat 15 Oct,Aegean,15451,Direct,Economy
2188,Tel Aviv,246,Mon 31 Oct,Aegean,2110,Direct,Economy
2189,Fort Lauderdale,246,Tue 2 May,Aegean,15451,Direct,Economy
2190,Tel Aviv,2651,Sat 17 Sep,Aegean,2205,Direct,Economy
2191,Fort Lauderdale,265,Tue 30 Aug,Aegean,15451,Direct,Economy
2192,Tel Aviv,261,Fri 9 Sep,Aegean,2110,Direct,Economy
2193,Fort Lauderdale,261,Sat 15 Oct,Aegean,15451,Direct,Economy
2194,Tel Aviv,2871,Sat 27 Aug,Aegean,2205,Direct,Economy
2195,Fort Lauderdale,287,Sat 15 Oct,Aegean,15451,Direct,Economy
2196,Tel Aviv,2872,Sat 17 Sep,easyJet,2205,Direct,Economy
2197,Fort Lauderdale,287,Wed 26 Oct,Aegean,15451,Direct,Economy
2198,Tel Aviv,2821,Fri 16 Sep,Aegean,2110,Direct,Economy
2199,Fort Lauderdale,282,Tue 6 Sep,Aegean,15451,Direct,Economy
2200,Tel Aviv,2901,Tue 13 Sep,Aegean,2205,Direct,Economy
2201,Fort Lauderdale,290,Sat 29 Oct,Aegean,15451,Direct,Economy
2202,Tel Aviv,2951,Mon 12 Dec,Aegean,2205,Direct,Economy
2203,Fort Lauderdale,295,Fri 30 Sep,Aegean,15451,Direct,Economy
2204,Tel Aviv,2991,Wed 31 Aug,Aegean,2205,Direct,Economy
2205,Fort Lauderdale,299,Sat 10 Sep,Aegean,15451,Direct,Economy
2206,Tel Aviv,2991,Tue 20 Sep,Aegean,2205,Direct,Economy
2207,Fort Lauderdale,299,Mon 29 Aug,Ryanair,15451,Direct,Economy
2208,Tel Aviv,3162,Mon 12 Sep,Ryanair,2335,Direct,Economy
2209,Fort Lauderdale,316,Mon 17 Oct,Ryanair,15451,Direct,Economy
2210,Tel Aviv,3221,Tue 18 Oct,Ryanair,2335,Direct,Economy
2211,Fort Lauderdale,322,Sat 3 Sep,Ryanair,15451,Direct,Economy
2212,Tel Aviv,3161,Thu 16 Mar,Ryanair,2155,Direct,Economy
2213,Fort Lauderdale,316,Thu 9 Mar,Ryanair,15451,Direct,Economy
2214,Tel Aviv,3202,Thu 12 Jan,Ryanair,2205,1 stop,Economy
2215,Fort Lauderdale,320,Thu 9 Feb,Ryanair,15451,1 stop,Economy
2216,Tel Aviv,2412,Sat 28 Jan,Ryanair,1145,1 stop,Economy
2217,Fort Lauderdale,241,Thu 19 Jan,Ryanair,15451,1 stop,Economy
2218,Tel Aviv,2742,Thu 2 Feb,Wizz Air,1550,1 stop,Economy
2219,Fort Lauderdale,274,Thu 26 Jan,Wizz Air,15451,1 stop,Economy
2220,Tel Aviv,338,Sat 4 Feb,Wizz Air,2330,1 stop,Economy
2221,Fort Lauderdale,338,Sat 18 Mar,Wizz Air,15451,1 stop,Economy
2222,Tel Aviv,3291,Sat 21 Jan,Wizz Air,2155,1 stop,Economy
2223,Fort Lauderdale,329,Sat 14 Jan,Wizz Air,15451,2 stops,Economy
2224,Tel Aviv,2811,Sat 11 Mar,Wizz Air,1550,1 stop,Economy
2225,Fort Lauderdale,281,Sat 24 Dec,Wizz Air,15451,1 stop,Economy
2226,Tel Aviv,3061,Thu 23 Mar,Wizz Air,1210,1 stop,Economy
2227,Fort Lauderdale,306,Thu 16 Feb,Wizz Air,09161,2 stops,Economy
2228,Tel Aviv,2863,Thu 2 Mar,Wizz Air,1550,1 stop,Economy
2229,Fort Lauderdale,286,Thu 23 Feb,Wizz Air,15451,2 stops,Economy
2230,Tel Aviv,3411,Sat 25 Mar,Wizz Air,2205,1 stop,Economy
2231,Fort Lauderdale,341,Sat 31 Dec,Ryanair,15451,1 stop,Economy
2232,Tel Aviv,3411,Sun 19 Mar,Wizz Air,2205,1 stop,Economy
2233,Fort Lauderdale,341,Sat 10 Dec,Ryanair,15451,1 stop,Economy
2234,Tel Aviv,2573,Mon 17 Oct,Ryanair,1115,1 stop,Economy
2235,Fort Lauderdale,257,Sun 12 Mar,Wizz Air,15451,1 stop,Economy
2236,Tel Aviv,356,Thu 3 Nov,Wizz Air,2335,1 stop,Economy
2237,Fort Lauderdale,356,Sat 4 Mar,Wizz Air Abu Dhabi,15451,1 stop,Economy
2238,Tel Aviv,337,Sun 22 Jan,Air Arabia Abu Dhabi,2110,1 stop,Economy
2239,Fort Lauderdale,337,Sun 29 Jan,Scoot,15451,1 stop,Economy
2240,Tel Aviv,3451,Sat 25 Feb,Ryanair,2205,1 stop,Economy
2241,Fort Lauderdale,345,Thu 8 Dec,Scoot,15451,2 stops,Economy
2242,Tel Aviv,3383,Thu 15 Sep,Ryanair,2110,2 stops • Change airport,Economy
2243,Fort Lauderdale,338,Sun 5 Mar,Scoot,15451,2 stops • Change airport,Economy
2244,Tel Aviv,3392,Sun 5 Feb,Wizz Air Abu Dhabi,2110,3 stops,Economy
2245,Fort Lauderdale,339,Sun 15 Jan,Air Arabia Abu Dhabi,15451,2 stops • Change airport,Economy
2246,Tel Aviv,88,Sun 1 Jan,Scoot,1500,2 stops • Change airport,Economy
2247,Corfu,88,Sun 30 Oct,Wizz Air Abu Dhabi,1740,3 stops,Economy
2248,Tel Aviv,91,Sun 8 Jan,Air India Express,1045,3 stops,Economy
2249,Corfu,91,Sun 22 Jan,Scoot,1330,2 stops • Change airport,Economy
2250,Tel Aviv,98,Sun 23 Oct,Wizz Air Abu Dhabi,1715,3 stops,Economy
2251,Corfu,98,Sun 19 Mar,Air India Express,1955,2 stops • Change airport,Economy
2252,Tel Aviv,991,Thu 9 Feb,Scoot,1715,3 stops,Economy
2253,Corfu,99,Sun 12 Mar,Wizz Air Abu Dhabi,1955,3 stops,Economy
2254,Tel Aviv,107,Sun 25 Dec,Air Arabia Abu Dhabi,1510,3 stops,Economy
2255,Corfu,107,Sun 12 Feb,Scoot,1750,2 stops • Change airport,Economy
2256,Tel Aviv,109,Sun 19 Feb,Wizz Air Abu Dhabi,1510,2 stops • Change airport,Economy
2257,Corfu,109,Sun 26 Feb,Air Arabia Abu Dhabi,1750,3 stops,Economy
2258,Tel Aviv,1141,Thu 23 Mar,Scoot,1925,2 stops,Economy
2259,Corfu,114,Thu 12 Jan,Wizz Air Abu Dhabi,2205,2 stops • Change airport,Economy
2260,Tel Aviv,751,Thu 22 Dec,Air Arabia Abu Dhabi,1145,3 stops,Economy
2261,Corfu,75,Thu 8 Dec,Scoot,1920,2 stops,Economy
2262,Tel Aviv,117,Sun 4 Dec,Wizz Air Abu Dhabi,1510,2 stops,Economy
2263,Corfu,117,Thu 27 Oct,Air Arabia Abu Dhabi,1750,3 stops,Economy
2264,Tel Aviv,641,Sun 29 Jan,Scoot,0940,2 stops • Change airport,Economy
2265,Corfu,64,Thu 2 Mar,Wizz Air Abu Dhabi,1915,2 stops • Change airport,Economy
2266,Tel Aviv,1191,Thu 19 Jan,Air Arabia Abu Dhabi,1045,3 stops,Economy
2267,Corfu,119,Thu 23 Feb,Scoot,1330,3 stops,Economy
2268,Tel Aviv,119,Thu 16 Feb,Wizz Air Abu Dhabi,1045,2 stops,Economy
2269,Corfu,119,Thu 1 Dec,Air India Express,1330,2 stops • Change airport,Economy
2270,Tel Aviv,791,Thu 3 Nov,Scoot,0520,2 stops • Change airport,Economy
2271,Corfu,79,Thu 2 Feb,Wizz Air Abu Dhabi,1400,3 stops,Economy
2272,Tel Aviv,791,Wed 1 Feb,Air India Express,0520,2 stops • Change airport,Economy
2273,Corfu,79,Wed 25 Jan,Scoot,1400,2 stops • Change airport,Economy
2274,Tel Aviv,801,Wed 15 Feb,Wizz Air Abu Dhabi,0520,2 stops,Economy
2275,Corfu,80,Fri 13 Jan,Air India Express,1400,2 stops,Economy
2276,Tel Aviv,811,Fri 3 Feb,Scoot,0520,3 stops,Economy
2277,Corfu,81,Mon 24 Oct,Wizz Air Abu Dhabi,1400,2 stops,Economy
2278,Tel Aviv,811,Fri 27 Jan,Air Arabia Abu Dhabi,0520,2 stops • Change airport,Economy
2279,Corfu,81,Fri 24 Feb,Scoot,1400,2 stops • Change airport,Economy
2280,Tel Aviv,811,Fri 20 Jan,Wizz Air Abu Dhabi,0520,2 stops,Economy
2281,Corfu,81,Mon 30 Jan,Air Arabia Abu Dhabi,1400,3 stops,Economy
2282,Tel Aviv,811,Sat 22 Oct,Scoot,0520,2 stops,Economy
2283,Corfu,81,Fri 25 Nov,Wizz Air Abu Dhabi,1400,2 stops • Change airport,Economy
2284,Tel Aviv,591,Wed 8 Mar,Air Arabia Abu Dhabi,1055,3 stops,Economy
2285,Corfu,59,Mon 23 Jan,Scoot,2225,2 stops,Economy
2286,Tel Aviv,821,Sat 22 Oct,Wizz Air Abu Dhabi,0520,2 stops,Economy
2287,Corfu,82,Mon 16 Jan,Air Arabia Abu Dhabi,1400,3 stops,Economy
2288,Tel Aviv,831,Tue 8 Nov,Scoot,0520,2 stops,Economy
2289,Corfu,83,Wed 22 Feb,Wizz Air Abu Dhabi,1400,2 stops,Economy
2290,Tel Aviv,831,Sat 15 Oct,Air Arabia Abu Dhabi,0520,2 stops,Economy
2291,Corfu,83,Thu 23 Mar,Scoot,1400,2 stops,Economy
2292,Tel Aviv,931,Sat 22 Oct,Wizz Air Abu Dhabi,1145,2 stops,Economy
2293,Corfu,93,Tue 31 Jan,Air Arabia Abu Dhabi,1920,2 stops,Economy
2294,Tel Aviv,103,Fri 10 Feb,Scoot,1200,2 stops,Economy
2295,Corfu,103,Mon 24 Oct,Wizz Air Abu Dhabi,1820,2 stops,Economy
2296,Tel Aviv,1092,Wed 23 Nov,Air Arabia Abu Dhabi,0925,2 stops,Economy
2297,Corfu,109,Fri 17 Mar,Scoot,1500,2 stops,Economy
2298,Tel Aviv,841,Mon 17 Oct,Wizz Air Abu Dhabi,0510,2 stops,Economy
2299,Corfu,84,Wed 30 Nov,Air India Express,1400,2 stops,Economy
2300,Tel Aviv,911,Sat 22 Oct,Scoot,0520,2 stops,Economy
2301,Corfu,91,Mon 13 Feb,Wizz Air Abu Dhabi,1400,2 stops,Economy
2302,Tel Aviv,1043,Mon 17 Oct,Air Arabia Abu Dhabi,0925,2 stops,Economy
2303,Corfu,104,Mon 17 Oct,Scoot,1645,2 stops,Economy
2304,Tel Aviv,952,Wed 26 Oct,Aegean,0520,2 stops,Economy
2305,Corfu,95,Tue 6 Sep,Scoot,1400,2 stops,Economy
2306,Tel Aviv,4192,Mon 17 Oct,Jetstar Airways,0520,2 stops,Economy
2307,Seoul,419,Tue 27 Sep,Wizz Air Abu Dhabi,11251,2 stops,Economy
2308,Tel Aviv,420,Tue 6 Sep,Air Arabia Abu Dhabi,0520,2 stops,Economy
2309,Seoul,420,Tue 13 Sep,Scoot,11251,2 stops,Economy
2310,Tel Aviv,4272,Sat 17 Sep,Wizz Air Abu Dhabi,0520,2 stops,Economy
2311,Seoul,427,Tue 11 Oct,Air Arabia Abu Dhabi,11251,2 stops,Economy
2312,Tel Aviv,4272,Tue 27 Sep,Scoot,0520,2 stops,Economy
2313,Seoul,427,Sat 15 Oct,Wizz Air Abu Dhabi,11251,2 stops,Economy
2314,Tel Aviv,429,Tue 13 Sep,Air Arabia Abu Dhabi,1620,2 stops,Economy
2315,Seoul,429,Sun 23 Oct,Singapore Airlines,22551,3 stops,Economy
2316,Tel Aviv,4291,Sat 17 Sep,Scoot,1620,2 stops,Economy
2317,Seoul,429,Sat 22 Oct,Wizz Air Abu Dhabi,22551,3 stops,Economy
2318,Tel Aviv,430,Tue 25 Oct,Air Arabia Abu Dhabi,1620,1 stop,Economy
2319,Seoul,430,Tue 11 Oct,Singapore Airlines,22551,1 stop,Economy
2320,Tel Aviv,4342,Tue 23 Aug,Scoot,0520,1 stop,Economy
2321,Seoul,434,Tue 11 Oct,Gulf Air Bahrain,11251,1 stop,Economy
2322,Tel Aviv,431,Wed 12 Oct,Air India Limited,1620,1 stop,Economy
2323,Seoul,431,Sun 11 Sep,Scoot,22551,1 stop,Economy
2324,Tel Aviv,4352,Sat 1 Oct,Wizz Air Abu Dhabi,0520,1 stop,Economy
2325,Seoul,435,Tue 27 Sep,Air Arabia Abu Dhabi,11251,1 stop,Economy
2326,Tel Aviv,4353,Mon 19 Sep,Singapore Airlines,0520,1 stop,Economy
2327,Seoul,435,Mon 19 Sep,Scoot,11251,1 stop,Economy
2328,Tel Aviv,4352,Tue 18 Oct,easyJet,0520,1 stop,Economy
2329,Seoul,435,Sun 16 Oct,easyJet,11251,1 stop,Economy
2330,Tel Aviv,437,Tue 25 Oct,easyJet,1620,1 stop,Economy
2331,Seoul,437,Mon 17 Oct,easyJet,22551,1 stop,Economy
2332,Tel Aviv,437,Tue 24 Jan,easyJet,1620,1 stop,Economy
2333,Seoul,437,Wed 11 Jan,easyJet,22551,1 stop,Economy
2334,Tel Aviv,438,Wed 18 Jan,easyJet,1620,1 stop,Economy
2335,Seoul,438,Wed 25 Jan,easyJet,22551,1 stop,Economy
2336,Tel Aviv,4422,Wed 25 Jan,easyJet,0520,1 stop,Economy
2337,Seoul,442,Tue 31 Jan,easyJet,11251,1 stop,Economy
2338,Tel Aviv,4422,Tue 21 Mar,easyJet,0520,1 stop,Economy
2339,Seoul,442,Wed 8 Feb,easyJet,11251,1 stop,Economy
2340,Tel Aviv,4422,Wed 22 Mar,easyJet,0520,1 stop,Economy
2341,Seoul,442,Wed 1 Feb,easyJet,11251,1 stop,Economy
2342,Tel Aviv,4422,Tue 17 Jan,easyJet,0520,1 stop,Economy
2343,Seoul,442,Tue 14 Feb,easyJet,11251,1 stop,Economy
2344,Tel Aviv,4422,Wed 15 Feb,easyJet,0520,1 stop,Economy
2345,Seoul,442,Tue 31 Jan,easyJet,11251,1 stop,Economy
2346,Tel Aviv,4502,Tue 15 Nov,easyJet,0520,1 stop,Economy
2347,Seoul,450,Wed 15 Feb,easyJet,11251,1 stop,Economy
2348,Tel Aviv,5222,Fri 26 Aug,easyJet,1145,3 stops,Economy
2349,Seoul,522,Wed 23 Nov,easyJet,09401,3 stops,Economy
2350,Tel Aviv,475,Wed 8 Feb,easyJet,1150,3 stops,Economy
2351,Seoul,475,Tue 21 Mar,easyJet,16551,3 stops,Economy
2352,Tel Aviv,475,Tue 7 Feb,easyJet,1150,2 stops,Economy
2353,Seoul,475,Sat 3 Dec,easyJet,16551,3 stops,Economy
2354,Tel Aviv,479,Wed 15 Feb,easyJet,1140,3 stops,Economy
2355,Seoul,479,Wed 22 Mar,Ryanair,16551,3 stops,Economy
2356,Tel Aviv,482,Tue 15 Nov,Ryanair,1145,2 stops,Economy
2357,Seoul,482,Tue 30 Aug,Ryanair,16551,2 stops,Economy
2358,Tel Aviv,4752,Wed 30 Nov,Ryanair,0520,2 stops,Economy
2359,Seoul,475,Fri 21 Oct,Ryanair,11251,3 stops,Economy
2360,Tel Aviv,484,Wed 1 Mar,Ryanair,1150,2 stops • Change airport,Economy
2361,Seoul,484,Wed 16 Nov,Ryanair,16551,3 stops,Economy
2362,Tel Aviv,3981,Sat 27 Aug,Ryanair,0520,3 stops,Economy
2363,Seoul,398,Sat 10 Sep,Ryanair,21151,2 stops,Economy
2364,Tel Aviv,489,Sat 10 Sep,Ryanair,1140,2 stops,Economy
2365,Seoul,489,Sat 27 Aug,Ryanair,16551,3 stops,Economy
2366,Tel Aviv,352,Sun 28 Aug,Ryanair,1405,2 stops,Economy
2367,Bogotá,352,Sun 28 Aug,Ryanair,04501,3 stops,Economy
2368,Tel Aviv,365,Sun 28 Aug,Ryanair,1405,3 stops,Economy
2369,Bogotá,365,Sat 3 Sep,Ryanair,04501,2 stops,Economy
2370,Tel Aviv,3492,Sun 4 Sep,Ryanair,1125,2 stops,Economy
2371,Bogotá,349,Sun 4 Sep,Wizz Air,04501,2 stops,Economy
2372,Tel Aviv,3551,Sun 4 Sep,Ryanair,1125,2 stops,Economy
2373,Bogotá,355,Sat 3 Sep,Ryanair,04501,2 stops,Economy
2374,Tel Aviv,3742,Thu 25 Aug,Ryanair,1255,2 stops,Economy
2375,Bogotá,374,Sun 11 Sep,Wizz Air,04501,2 stops,Economy
2376,Tel Aviv,3672,Sun 11 Sep,Wizz Air,1150,2 stops,Economy
2377,Bogotá,367,Sat 17 Sep,Ryanair,04501,2 stops,Economy
2378,Tel Aviv,335,Sat 30 Jul,Ryanair,2050,2 stops,Economy
2379,Bogotá,335,Thu 8 Sep,Wizz Air,18151,2 stops,Economy
2380,Tel Aviv,349,Thu 25 Aug,easyJet,2220,2 stops,Economy
2381,Bogotá,349,Sat 23 Jul,Ryanair,18151,2 stops,Economy
2382,Tel Aviv,374,Sat 17 Sep,Wizz Air,1150,2 stops,Economy
2383,Bogotá,374,Sun 25 Sep,Ryanair,04501,2 stops,Economy
2384,Tel Aviv,3372,Sun 11 Sep,Ryanair,2035,2 stops,Economy
2385,Bogotá,337,Thu 8 Sep,Wizz Air,18151,2 stops,Economy
2386,Tel Aviv,336,Thu 8 Sep,easyJet,1405,2 stops,Economy
2387,Bogotá,336,Sat 23 Jul,Wizz Air,13001,2 stops,Economy
2388,Tel Aviv,337,Thu 25 Aug,easyJet,1405,2 stops,Economy
2389,Bogotá,337,Sun 16 Oct,Ryanair,13001,2 stops,Economy
2390,Tel Aviv,3911,Sun 28 Aug,Wizz Air,1205,2 stops,Economy
2391,Bogotá,391,Sat 17 Sep,Wizz Air,04501,2 stops,Economy
2392,Tel Aviv,345,Wed 1 Feb,Ryanair,1405,2 stops,Economy
2393,Bogotá,345,Wed 25 Jan,Air Transat,13001,3 stops,Economy
2394,Tel Aviv,3281,Wed 15 Feb,easyJet,1705,3 stops,Economy
2395,Bogotá,328,Tue 17 Jan,Air Transat,18151,3 stops,Economy
2396,Tel Aviv,358,Tue 18 Oct,easyJet,2050,2 stops,Economy
2397,Bogotá,358,Mon 12 Dec,Air Transat,18151,2 stops,Economy
2398,Tel Aviv,3772,Tue 24 Jan,Wizz Air,0940,2 stops,Economy
2399,Bogotá,377,Wed 25 Jan,Air Transat,04501,Direct,Economy
2400,Tel Aviv,3623,Wed 1 Mar,Wizz Air UK,2035,Direct,Economy
2401,Bogotá,362,Wed 8 Feb,easyJet,18151,Direct,Economy
2402,Tel Aviv,335,Wed 26 Oct,Air Transat,1705,Direct,Economy
2403,Bogotá,335,Tue 31 Jan,easyJet,18151,Direct,Economy
2404,Tel Aviv,4091,Tue 7 Feb,Air Transat,1255,Direct,Economy
2405,Bogotá,409,Tue 8 Nov,Wizz Air,04501,Direct,Economy
2406,Tel Aviv,3641,Tue 31 Jan,Ryanair,2035,Direct,Economy
2407,Bogotá,364,Tue 7 Feb,Air Transat,18151,Direct,Economy
2408,Tel Aviv,3341,Wed 18 Jan,Ryanair,1125,Direct,Economy
2409,Bogotá,334,Sun 13 Nov,Air Transat,13001,Direct,Economy
2410,Tel Aviv,3352,Fri 13 Jan,Wizz Air,1125,Direct,Economy
2411,Bogotá,335,Mon 30 Jan,Blue Air,13001,Direct,Economy
2412,Tel Aviv,335,Mon 23 Jan,Air Transat,1120,Direct,Economy
2413,Bogotá,335,Tue 10 Jan,Wizz Air UK,13001,Direct,Economy
2414,Tel Aviv,4211,Tue 15 Nov,easyJet,1255,Direct,Economy
2415,Bogotá,421,Tue 24 Jan,Air Transat,04501,Direct,Economy
2416,Tel Aviv,4501,Sun 12 Mar,Ryanair,0510,Direct,Economy
2417,Bogotá,450,Tue 13 Dec,Air Transat,1920,Direct,Economy
2418,Tel Aviv,4591,Wed 30 Nov,Wizz Air,0510,Direct,Economy
2419,Bogotá,459,Wed 16 Nov,Blue Air,1920,Direct,Economy
2420,Tel Aviv,462,Tue 22 Nov,Air Transat,0520,Direct,Economy
2421,Bogotá,462,Sat 19 Nov,Wizz Air,2010,Direct,Economy
2422,Tel Aviv,4791,Tue 28 Mar,Blue Air,0520,Direct,Economy
2423,Bogotá,479,Tue 9 May,Air Transat,1815,Direct,Economy
2424,Tel Aviv,469,Tue 16 May,Wizz Air UK,0520,Direct,Economy
2425,Bogotá,469,Wed 26 Oct,easyJet,2010,Direct,Economy
2426,Tel Aviv,25,Mon 17 Oct,Air Transat,2050,Direct,Economy
2427,Milan,25,Tue 11 Oct,Wizz Air,2359,Direct,Economy
2428,Tel Aviv,251,Wed 26 Oct,Blue Air,1705,Direct,Economy
2429,Milan,25,Tue 27 Sep,Air Transat,2015,Direct,Economy
2430,Tel Aviv,251,Wed 12 Oct,Wizz Air UK,1705,Direct,Economy
2431,Milan,25,Wed 12 Oct,easyJet,2015,Direct,Economy
2432,Tel Aviv,26,Mon 19 Sep,Air Transat,1205,Direct,Economy
2433,Milan,26,Tue 13 Sep,HiSky Europe,1515,Direct,Economy
2434,Tel Aviv,272,Thu 29 Sep,Wizz Air,1145,Direct,Economy
2435,Milan,27,Tue 18 Oct,Air Transat,1455,Direct,Economy
2436,Tel Aviv,281,Thu 27 Oct,Wizz Air,2050,Direct,Economy
2437,Milan,28,Mon 19 Sep,Vueling,2359,Direct,Economy
2438,Tel Aviv,28,Sat 15 Oct,Air Transat,2050,Direct,Economy
2439,Milan,28,Mon 28 Nov,easyJet,2359,Direct,Economy
2440,Tel Aviv,28,Mon 7 Nov,Air Transat,2050,Direct,Economy
2441,Milan,28,Tue 6 Sep,TAP Portugal,2359,Direct,Economy
2442,Tel Aviv,281,Mon 7 Nov,Air Transat,2050,Direct,Economy
2443,Milan,28,Mon 17 Oct,easyJet,2359,Direct,Economy
2444,Tel Aviv,28,Sat 15 Oct,Air Transat,1125,Direct,Economy
2445,Milan,28,Tue 25 Oct,Wizz Air,1435,Direct,Economy
2446,Tel Aviv,28,Mon 29 Aug,Air Transat,1705,Direct,Economy
2447,Milan,28,Tue 6 Sep,easyJet,2015,Direct,Economy
2448,Tel Aviv,28,Tue 18 Oct,Air Transat,1705,Direct,Economy
2449,Milan,28,Mon 28 Nov,Flair Airlines,2015,Direct,Economy
2450,Tel Aviv,28,Wed 26 Oct,TAP Portugal,1705,Direct,Economy
2451,Milan,28,Thu 15 Sep,Air Transat,2015,Direct,Economy
2452,Tel Aviv,28,Tue 21 Feb,Wizz Air UK,1705,Direct,Economy
2453,Milan,28,Thu 8 Sep,easyJet,2015,Direct,Economy
